player_name,school,conference,position,height,height_inches,weight,class,season_year,games,minutes,minutes_pct,ppg,rpg,apg,usage_rate,ts_pct,three_pt_pct,three_pt_attempt_rate,ft_pct,off_rebound_rate,def_rebound_rate,assist_rate,turnover_rate,steal_rate,block_rate,offensive_rating,defensive_rating,bpm,vorp,previous_bpm,conf_strength,conf_strength_from,conf_strength_to,conf_upgrade,future_bpm,future_impact_score,transfer_success,transferred,school_destination,data_year,public_transfer_rank
Darius Green,Notre Dame,CAA,F,6-7,79,195,R-FR,2024,23,297.0068887972196,32.283357477958646,5.8,6.1,1.2,22.1,0.469,0.164,0.0,0.718,11.6,22.5,10.4,16.2,2.01,1.12,109.0,100.7,6.76,1.0,6.76,0.77,0.77,0.71,-0.06,9.59,100.0,1,1,George Mason,2024,1
Henry Carter,San Diego State,Big Ten,SF,6-4,76,226,JR,2020,29,92.8,8.0,3.0,4.1,2.1,21.1,0.475,0.305,0.535,0.793,5.2,17.8,17.8,19.6,2.16,2.45,103.4,92.8,3.47,0.16,3.47,1.0,1.0,0.71,-0.29,7.46,94.8,1,1,Boston College,2020,2
Patrick Murphy,Michigan,Big 12,C,6-9,81,230,JR,2020,31,147.83492144476196,11.922171084254998,6.2,5.9,1.5,21.3,0.512,0.262,0.042,0.609,12.7,20.0,12.6,8.9,2.67,6.03,105.1,95.2,2.77,0.2,2.77,0.98,0.98,0.7,-0.28,7.12,92.7,1,1,Iowa,2020,3
Vince Robinson,Auburn,CAA,SG,6-1,73,200,R-JR,2022,28,198.94499217112582,17.762945729564805,10.5,1.6,2.0,23.6,0.54,0.393,0.315,0.759,1.1,7.8,16.5,17.9,2.77,1.59,110.2,102.2,3.63,0.36,3.63,0.77,0.77,0.94,0.17,7.11,92.7,1,1,Kentucky,2022,4
Coleman Campbell,Creighton,SEC,F,6-6,78,205,R-JR,2020,32,318.00864520724235,24.844425406815805,11.2,4.9,1.9,19.7,0.594,0.346,0.268,0.716,10.6,16.6,15.6,12.3,1.47,1.07,119.0,92.6,4.43,0.7,4.43,0.96,0.96,0.77,-0.19,6.64,89.9,1,1,Hofstra,2020,5
Kofi Baker,Virginia Tech,Big Ten,PF,6-10,82,195,SO,2022,17,188.4744058019774,27.716824382643736,3.1,5.2,0.8,18.8,0.507,0.313,0.0,0.729,7.0,22.0,6.9,15.0,0.69,4.54,102.4,95.1,4.48,0.42,4.48,1.0,1.0,0.69,-0.31,6.48,88.9,1,1,Utah State,2022,6
Grant Allen,Connecticut,CAA,W,6-4,76,211,SR,2024,25,277.8809768886774,27.78809768886774,9.9,2.6,2.1,21.9,0.624,0.351,0.233,0.722,6.3,8.3,17.7,13.0,0.2,0.98,120.2,93.5,5.42,0.75,5.42,0.77,0.77,0.69,-0.08,6.21,87.3,1,1,Duke,2024,7
Sean Cooper,Ohio State,CAA,G,6-3,75,225,JR,2021,31,397.32022668362185,32.04195376480821,4.7,1.8,3.0,23.3,0.587,0.364,0.305,0.669,3.2,6.9,25.2,13.9,4.13,1.69,112.8,96.0,3.94,0.78,3.94,0.77,0.77,0.74,-0.03,6.09,86.5,1,1,Duquesne,2021,8
Patrick Rivera,Illinois,SEC,F,6-4,76,197,R-JR,2022,28,477.4757090552876,42.63175973707925,7.4,3.6,0.7,18.2,0.521,0.158,0.185,0.586,6.5,13.7,6.1,9.7,2.69,1.83,111.3,105.4,5.06,1.21,5.06,0.96,0.96,0.72,-0.24,5.97,85.8,1,1,Louisville,2022,9
Jalen Lopez,Georgia,WCC,SF,6-4,76,189,R-JR,2021,22,189.90517321851823,21.580133320286162,7.9,3.8,2.5,28.5,0.506,0.247,0.532,0.85,7.9,13.4,20.6,16.5,3.31,1.62,101.6,105.7,5.17,0.49,5.17,0.82,0.82,0.7,-0.12,5.83,85.0,1,1,UCLA,2021,10
Trevion Harris,Texas,Big 12,PG,6-2,74,163,JR,2022,29,561.0666192824089,48.36781200710421,2.0,1.6,2.1,15.4,0.499,0.315,0.279,0.698,2.5,6.3,17.5,21.1,2.9,0.69,109.5,92.9,3.54,0.99,3.54,0.98,0.98,0.71,-0.27,5.58,83.5,1,1,Boise State,2022,11
Elijah Rivera,San Diego State,Big East,PF,6-9,81,191,SO,2020,37,728.7610410943066,49.240610884750446,5.4,7.1,2.4,19.2,0.588,0.312,0.33,0.708,15.3,24.2,20.1,12.7,0.2,4.68,108.7,99.3,4.62,1.68,4.62,0.93,0.93,0.7,-0.23,5.51,83.1,1,1,Indiana,2020,12
Zach Perez,Baylor,Big 12,W,6-8,80,208,JR,2021,31,257.5580529783321,20.770810724059043,2.7,4.3,2.5,20.6,0.445,0.316,0.353,0.726,10.1,13.6,20.8,19.6,2.97,0.1,107.0,91.5,4.59,0.59,4.59,0.98,0.98,0.71,-0.27,5.45,82.7,1,1,Kentucky,2021,13
Ryan Gonzalez,Kentucky,Big Ten,G,6-1,73,215,R-FR,2020,23,376.945952295849,40.97238611911402,1.0,1.7,2.2,21.1,0.456,0.368,0.43,0.627,3.5,5.8,18.3,13.3,3.5,2.13,114.0,105.5,3.57,0.67,3.57,1.0,1.0,0.74,-0.26,5.44,82.6,1,1,Indiana,2020,14
Wade Hill,St. John's,SEC,F,6-7,79,198,JR,2024,22,89.19743676595755,10.136072359767903,4.1,4.3,1.6,19.5,0.531,0.136,0.126,0.805,6.9,17.2,13.2,14.8,3.22,0.1,124.5,102.0,4.45,0.2,4.45,0.96,0.96,0.72,-0.24,5.42,82.5,1,1,Virginia,2024,15
Quinn Morgan,Florida,Sun Belt,C,6-9,81,215,SR,2022,31,695.7249317585181,56.106849335364366,4.8,5.4,1.3,17.5,0.633,0.317,0.384,0.574,9.8,20.2,10.6,8.3,2.64,5.24,108.3,103.8,3.6,1.25,3.6,0.72,0.72,0.74,0.02,5.29,81.7,1,1,Richmond,2022,16
Blake Walker,Indiana,Big Ten,SG,6-0,72,192,SO,2024,31,303.296906264518,24.459427924557904,7.3,2.5,1.8,18.5,0.497,0.359,0.301,0.615,6.4,7.7,14.9,12.8,0.66,0.94,100.7,101.0,-0.77,-0.12,-0.77,1.0,1.0,0.94,-0.06,5.19,81.1,1,1,Saint Mary's,2024,17
Uriah Brown,Florida State,A-10,PF,6-8,80,181,JR,2021,33,508.67402137295164,38.535910710072095,6.4,5.7,1.2,24.4,0.59,0.316,0.04,0.79,9.6,22.2,10.1,11.6,2.16,5.37,111.1,90.1,4.78,1.22,4.78,0.86,0.86,0.83,-0.03,5.17,81.0,1,1,Tulsa,2021,18
Nick Thompson,Michigan,AAC,C,6-8,80,215,R-FR,2020,25,354.1183405884399,35.411834058843986,9.0,5.5,1.4,26.0,0.485,0.254,0.113,0.58,5.3,25.3,11.4,16.5,1.36,5.4,118.1,102.2,2.46,0.44,2.46,0.83,0.83,0.76,-0.07,5.17,81.0,1,1,Florida,2020,19
Tyler Phillips,Cincinnati,WCC,SG,6-2,74,191,R-FR,2023,27,347.2042528263505,32.14854192836579,14.5,2.7,2.1,29.3,0.542,0.319,0.535,0.858,4.8,10.0,17.3,15.7,3.89,1.11,107.8,94.8,4.49,0.78,4.49,0.82,0.82,0.71,-0.11,5.17,81.0,1,1,Syracuse,2023,20
Reed White,Florida State,SEC,F,6-6,78,217,R-FR,2022,30,244.13023176672885,20.344185980560738,2.3,4.0,1.4,15.7,0.535,0.281,0.088,0.66,6.9,15.3,11.9,14.5,0.66,1.3,131.8,106.1,3.37,0.41,3.37,0.96,0.96,0.93,-0.03,4.97,79.8,1,1,Cincinnati,2022,21
