player_name,school,conference,position,height,height_inches,weight,class,season_year,games,minutes,minutes_pct,ppg,defensive_rating,offensive_rating,usage_rate,ts_pct,three_pt_pct,three_pt_attempt_rate,ft_pct,off_rebound_rate,def_rebound_rate,assist_rate,turnover_rate,steal_rate,block_rate,bpm,vorp,previous_bpm,conf_strength,conf_strength_from,conf_strength_to,conf_upgrade,future_bpm,future_impact_score,transfer_success,public_transfer_rank
Cooper Flagg,Duke,ACC,PF,6-9,81,210.0,Fr,2025,37.0,1077.4,72.8,19.1622,92.0,123.0,30.8,0.5926,0.385,0.3,0.84,5.5,21.2,26.8,13.5,5.99488,5.98197,14.9399,4.35,14.9399,0.97,0.97,1.0,0.03,0.0,50.0,0,1
Johni Broome,Auburn,SEC,PF,6-10,82,267.0,Sr,2025,36.0,1028.2,71.4,18.5833,93.7,118.5,30.6,0.547,0.278,0.3,0.587,14.1,26.0,19.5,9.9,5.71244,5.37198,12.9066,3.58,12.9066,0.99,0.99,1.0,0.01,0.0,50.0,0,2
Yaxel Lendeborg,UAB,Amer,PF,6-9,81,228.0,Sr,2025,36.0,1212.5,84.2,17.6757,95.1,123.7,25.6,0.5916,0.362,0.3,0.757,11.6,25.1,22.9,14.2,5.02724,4.83498,11.1166,3.64,11.1166,0.79,0.79,1.0,0.21,0.0,50.0,0,3
Ryan Kalkbrenner,Creighton,BE,C,7-1,85,278.0,Sr,2025,35.0,1163.4,83.1,19.2,95.1,129.2,22.3,0.6843,0.344,0.3,0.681,8.8,18.4,10.0,11.2,6.09645,4.83042,11.1014,3.49,11.1014,0.88,0.88,1.0,0.12,0.0,50.0,0,4
Collin Murray-Boyles,South Carolina,SEC,WI,6-8,80,228.0,So,2025,32.0,971.5,75.9,16.8125,95.1,115.8,27.0,0.6295000000000001,0.265,0.3,0.707,8.8,23.8,21.1,17.6,4.51921,4.82622,11.0874,2.91,11.0874,0.99,0.99,1.0,0.01,0.0,50.0,0,5
Oscar Cluff,South Dakota St.,Sum,PF,6-11,83,204.0,Sr,2025,28.0,761.6,68.0,17.6,95.4,129.7,28.8,0.6659,0.65,0.3,0.778,17.2,32.2,21.6,15.8,5.04182,4.7208000000000006,10.736,2.21,10.736,0.6,0.6,1.0,0.4,0.0,50.0,0,6
Graham Ike,Gonzaga,WCC,PF,6-9,81,216.0,Sr,2025,35.0,792.4,56.6,17.2857,95.4,125.1,30.3,0.6557999999999999,0.394,0.3,0.805,10.8,24.8,12.5,13.2,4.45188,4.719720000000001,10.7324,2.3,10.7324,0.82,0.82,1.0,0.18,0.0,50.0,0,7
Emanuel Sharp,Houston,B12,G,6-3,75,210.0,Jr,2025,37.0,920.6,62.2,12.6486,95.5,126.9,20.2,0.6039,0.407,0.3,0.868,2.2,10.8,5.9,9.7,4.38693,4.696949999999999,10.6565,2.65,10.6565,0.98,0.98,1.0,0.02,0.0,50.0,0,8
JT Toppin,Texas Tech,B12,PF,6-9,81,205.0,So,2025,33.0,788.0,59.7,18.2424,95.5,120.0,30.4,0.5918,0.327,0.3,0.676,14.0,26.1,10.1,11.0,5.10374,4.68816,10.6272,2.26,10.6272,0.98,0.98,1.0,0.02,0.0,50.0,0,9
Patrick Ngongba,Duke,ACC,C,6-11,83,210.0,Fr,2025,30.0,242.4,20.2,3.8667,95.6,140.0,15.5,0.728,0.0,0.3,0.727,12.1,16.7,12.6,8.6,2.12054,4.64091,10.4697,0.69,10.4697,0.97,0.97,1.0,0.03,0.0,50.0,0,10
